Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
,,,,,
1,Petroleum Engineering,Bachelors,93200.0,187300.0,67
2,Operations Research & Industrial Engineering,Bachelors,84800.0,170400.0,28
3,Electrical Engineering & Computer Science (EECS),Bachelors,108500.0,159300.0,46
4,Interaction Design,Bachelors,68300.0,155800.0,55
5,Public Accounting,Bachelors,59800.0,147700.0,47
6,Operations Research,Bachelors,83500.0,147400.0,54
7,Applied Economics and Management,Bachelors,66100.0,146400.0,67
8,Business Computing (BC),Bachelors,73000.0,143600.0,-
9,Actuarial Mathematics,Bachelors,64300.0,143400.0,51
10,Electrical Power Engineering,Bachelors,76100.0,142600.0,68
11,Information & Computer Science,Bachelors,58600.0,140900.0,62
12,Aeronautics & Astronautics,Bachelors,77600.0,139600.0,56
13,Systems Engineering,Bachelors,77700.0,139200.0,53
14,Econometrics,Bachelors,64200.0,139000.0,35
15,Pharmacy,Bachelors,68600.0,138700.0,78
16,Aerospace Studies,Bachelors,55800.0,136600.0,-
17,Building Science,Bachelors,53800.0,135900.0,53
17,Chemical Engineering,Bachelors,76900.0,135900.0,55
19,Cognitive Science,Bachelors,68700.0,135200.0,42
20,Actuarial Science,Bachelors,67700.0,134400.0,43
21,Political Economy,Bachelors,65100.0,133500.0,29
22,Computer Systems Engineering,Bachelors,79000.0,133200.0,51
23,Electrical & Computer Engineering (ECE),Bachelors,78100.0,131600.0,49
24,Computer Science (CS) & Engineering,Bachelors,79400.0,131300.0,44
24,Marine Engineering,Bachelors,79900.0,131300.0,60
